y x
0.634 0.347
1.265 -0.244
0.997 -0.049
1.155 0.292
0.598 -0.468
1.341 -0.062
1.268 -0.492
0.952 0.229
0.737 0.453
1.410 -0.460
0.535 0.051
1.450 -0.108
0.729 -0.066
0.542 -0.265
0.952 0.010
0.748 -0.254
0.735 -0.024
0.807 -0.461
1.356 0.074
1.161 -0.295
1.513 0.380
0.642 -0.146
1.244 0.233
1.459 -0.055
1.354 0.194
0.828 0.113
1.409 0.372
1.032 0.116
0.563 -0.229
1.326 -0.057
0.703 0.079
1.234 0.206
0.907 -0.029
1.041 0.311
1.055 -0.073
1.025 -0.435
0.580 0.239
1.520 0.130
0.932 -0.292
1.041 0.521
1.311 0.080
1.401 -0.227
1.056 0.495
1.121 0.002
0.813 0.092
1.502 -0.449
1.330 0.367
1.433 0.288
1.357 0.067
1.110 -0.025
0.606 0.420
1.121 -0.249
1.057 0.037
0.910 -0.101
1.093 0.178
1.168 0.013
0.584 -0.214
0.734 0.142
1.419 0.356
1.356 0.375
0.815 0.402
1.234 -0.356
0.579 -0.423
1.319 -0.187
0.674 0.189
0.909 -0.365
0.726 0.093
0.735 -0.160
1.280 0.023
0.891 0.043
0.594 -0.043
0.992 -0.241
0.681 0.472
1.083 -0.218
1.180 0.391
0.596 -0.407
0.723 0.295
0.737 0.282
1.256 0.123
0.800 0.555
1.378 0.097
0.804 0.230
0.977 0.158
0.904 0.214
0.643 -0.117
1.553 0.461
0.892 0.445
0.897 0.526
1.332 0.004
0.841 -0.402
1.469 -0.372
1.411 0.553
1.162 -0.236
1.461 0.567
1.298 0.103
0.973 -0.058
0.802 0.270
1.030 -0.209
0.703 0.264
0.895 0.099
0.925 0.472
1.501 -0.381
0.803 -0.070
1.590 0.386
0.943 -0.183
1.280 0.443
1.538 -0.050
1.490 0.294
1.093 0.594
0.844 0.335
0.695 -0.220
1.522 -0.176
1.371 0.212
1.454 -0.019
0.954 -0.095
1.483 0.219
1.570 0.503
0.752 0.168
0.722 -0.343
0.692 0.485
1.408 0.449
0.962 0.236
1.404 0.000
1.194 -0.153
0.706 -0.109
1.516 0.190
1.551 0.084
0.904 0.414
1.456 -0.359
1.300 -0.279
0.745 0.515
0.671 -0.129
1.620 0.053
0.749 -0.199
0.876 0.378
0.738 0.546
1.014 0.606
1.546 -0.069
0.892 0.115
0.739 0.291
0.680 -0.349
1.624 -0.063
1.239 0.092
0.956 -0.294
